Country_name,Country_code,average,pledge,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Argentina,ARG,128684.7809,15,114942.115,121473.042,117090.977,112613.57,117021.304,121447.373,118609.115,123350.546,127963.632,135000.605,138003.878,139815.376,146984.361,142136.587,133720.822,124714.67,135062.944,157589.325,162110.736,175436.614,175176.257,189107.19,179961.692,187919.082,191633.753,192359.819,189818.588,188143.7181,186468.8482,184793.9783,183119.1084,181444.2385,179769.3686,178094.4987,176419.6288,174744.759,173069.8891,171395.0192,169720.1493,168045.2794,166370.4095,164695.5396,163020.6697,161345.7998
Brazil,BRA,254538.6378,37,207530.198,209363.698,214024.455,208886.988,219330.604,220705.729,230738.641,242154.012,258347.484,284782.887,300547.32,312289.054,320173.104,327983.814,337433.673,332266.87,321621.569,337826.042,347308.904,347668.27,363212.683,387631.236,367147.374,419754.156,439412.943,470028.726,503677.118,336600.2128,325891.5216,315182.8304,304474.1392,293765.448,283056.7568,272348.0656,261639.3743,250930.6831,240221.9919,229513.3007,218804.6095,NaN,NaN,NaN,NaN,NaN
Canada,CAN,458695.3625,30,431349.21,456053.789,463274.112,435181.225,426780.128,441114.431,445679.846,456955.871,467703.848,479419.913,495294.356,506456.704,515462.856,534483.585,527926.989,519335.208,553185.285,552349.209,551758.822,537780.218,540889.834,539085.67,498957.689,492588.11,497329.541,481601.778,475734.578,542021.9016,532284.9812,522548.0608,512811.1404,503074.2201,493337.2997,483600.3793,473863.4589,464126.5385,454389.6181,444652.6977,434915.7773,425178.857,415441.9366,405705.0162,395968.0958,386231.1754
Chile,CHL,42311.42948,30,22673.061,26926.781,32386.944,33314.695,31323.514,32474.952,34627.481,38103.797,41745.128,48499.742,56394.793,57641.573,61502.924,58815.013,53340.182,55162.681,55602.721,59775.767,61818.286,64814.225,71638.512,71851.198,66805.406,72250.901,79243.87,80974.694,83171.227,70374.30296,69110.09393,67845.88489,66581.67586,65317.46682,64053.25779,62789.04875,61524.83972,60260.63068,58996.42165,57732.21261,56468.00358,55203.79454,53939.58551,52675.37647,51411.16744,50146.9584
China,CHN,3492654.735,60,2209708.531,2369501.723,2408540.605,2460744.017,2584538.27,2695982.067,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3694242.143,4525177.009,5288166.032,5790016.984,6414463.08,6791804.714,7175658.94,7618683.878,8767877.674,9724590.64,10020744.89,10249463.02,5585663.443,5381309.903,5176956.362,4972602.822,4768249.281,4563895.74,4359542.2,4155188.659,3950835.118,3746481.578,3542128.037,3337774.497,3133420.956,2929067.415,2724713.875,2520360.334,2316006.794
Colombia,COL,54406.94564,20,50487.256,52445.434,53233.839,57337.212,57120.859,62049.307,64022.153,67571.809,59614.419,60527.502,64909.567,65976.664,56512.137,57923.932,56273.782,55661.393,57421.553,55071.006,60945.54,62940.388,62430.675,68088.856,72661.605,76163.59,76530.29,79874.594,89625.147,88570.73351,87516.32001,86461.90652,85407.49302,84353.07953,83298.66604,82244.25254,81189.83905,80135.42555,79081.01206,78026.59856,76972.18507,75917.77158,74863.35808,73808.94459,72754.53109,71700.1176
Ecuador,ECU,20404.18809,20.4,15115.374,17271.57,20267.509,16827.863,16497.833,22280.692,24205.867,13652.241,22841.743,24191.199,18360.669,22460.375,21495.954,20718.55,23116.768,24950.268,26967.118,29046.307,30263.751,28859.29,31888.232,33868.412,35969.603,38074.461,39640.27,40472.679,43527.29,42787.32607,42047.36214,41307.39821,40567.43428,39827.47035,39087.50642,38347.54249,37607.57856,36867.61463,36127.6507,35387.68677,34647.72284,NaN,NaN,NaN,NaN,NaN
Germany,DEU,821562.3329,20,NaN,NaN,NaN,NaN,NaN,891975.748,877645.112,865558.68,864110.215,889614.2,862276.715,855364.42,822460.429,829977.779,853662.932,829724.756,822812.461,816802.248,797180.131,816472.218,780546.619,780564.954,721940.625,758537.285,732120.217,739300.203,757312.507,748402.9481,739493.3892,730583.8303,721674.2714,712764.7125,703855.1536,694945.5947,686036.0358,677126.4768,668216.9179,659307.359,650397.8001,641488.2412,632578.6823,623669.1234,614759.5645,605850.0056
India,IND,794296.1188,33,488481.07,527563.956,579008.299,619154.615,658189.83,699087.881,723697.118,764730.848,811562.105,882324.204,917685.085,936221.77,995766.516,1031853.463,1041152.975,1054258.833,1099597.621,1154320.262,1222563.132,1303717.509,1407607.286,1568379.567,1738645.711,1719690.988,1846763.539,2018503.817,2034752.294,1198831.024,1175098.916,1151366.808,1127634.701,1103902.593,1080170.485,1056438.377,1032706.269,1008974.161,985242.0534,961509.9456,937777.8377,914045.7299,890313.622,866581.5142,842849.4063,819117.2984
Iran Islamic Rep.,IRN,290616.6673,4,159573.172,176115.009,191204.714,211010.181,227871.047,228927.143,237533.592,265611.811,273338.18,276510.135,269770.189,308988.754,382512.104,372479.192,398657.905,401991.208,418639.388,447245.655,468990.965,509562.653,560900.653,581945.566,591432.095,605216.348,619165.616,643862.861,616976.417,615524.7078,614072.9986,612621.2894,611169.5801,609717.8709,608266.1617,606814.4525,605362.7433,603911.0341,602459.3248,601007.6156,599555.9064,598104.1972,596652.488,595200.7788,593749.0695,592297.3603
